edge	source	target	weight	phase
1	input[1]=0	prototype[000]	1	input_to_prototype
2	input[2]=0	prototype[000]	1	input_to_prototype
3	input[3]=0	prototype[000]	1	input_to_prototype
4	prototype[000]	output[1]=0	1	prototype_to_output
5	prototype[000]	output[2]=0	1	prototype_to_output
6	input[1]=0	prototype[001]	1	input_to_prototype
7	input[2]=0	prototype[001]	1	input_to_prototype
8	input[3]=1	prototype[001]	1	input_to_prototype
9	prototype[001]	output[1]=1	1	prototype_to_output
10	prototype[001]	output[2]=0	1	prototype_to_output
11	input[1]=0	prototype[010]	1	input_to_prototype
12	input[2]=1	prototype[010]	1	input_to_prototype
13	input[3]=0	prototype[010]	1	input_to_prototype
14	prototype[010]	output[1]=1	1	prototype_to_output
15	prototype[010]	output[2]=0	1	prototype_to_output
16	input[1]=0	prototype[011]	1	input_to_prototype
17	input[2]=1	prototype[011]	1	input_to_prototype
18	input[3]=1	prototype[011]	1	input_to_prototype
19	prototype[011]	output[1]=0	1	prototype_to_output
20	prototype[011]	output[2]=1	1	prototype_to_output
21	input[1]=1	prototype[100]	1	input_to_prototype
22	input[2]=0	prototype[100]	1	input_to_prototype
23	input[3]=0	prototype[100]	1	input_to_prototype
24	prototype[100]	output[1]=1	1	prototype_to_output
25	prototype[100]	output[2]=0	1	prototype_to_output
26	input[1]=1	prototype[101]	1	input_to_prototype
27	input[2]=0	prototype[101]	1	input_to_prototype
28	input[3]=1	prototype[101]	1	input_to_prototype
29	prototype[101]	output[1]=0	1	prototype_to_output
30	prototype[101]	output[2]=1	1	prototype_to_output
31	input[1]=1	prototype[110]	1	input_to_prototype
32	input[2]=1	prototype[110]	1	input_to_prototype
33	input[3]=0	prototype[110]	1	input_to_prototype
34	prototype[110]	output[1]=0	1	prototype_to_output
35	prototype[110]	output[2]=1	1	prototype_to_output
36	input[1]=1	prototype[111]	1	input_to_prototype
37	input[2]=1	prototype[111]	1	input_to_prototype
38	input[3]=1	prototype[111]	1	input_to_prototype
39	prototype[111]	output[1]=1	1	prototype_to_output
40	prototype[111]	output[2]=1	1	prototype_to_output
