context	bit	answer	cycle	workspace0	workspace1	score0	score1	active_memory	active_blocks	thought_path
0	0	0	1	0.0	0.0	0.0	0.0	0	1,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit0_mapping -> workspace0_recurrent -> workspace0_recurrent
0	0	0	2	1.0	0.0	1.0	0.0	3	2,3,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit0_mapping -> workspace0_recurrent -> workspace0_recurrent
0	0	0	3	0.75	0.0	0.75	0.0	3	1,2,3,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit0_mapping -> workspace0_recurrent -> workspace0_recurrent
0	0	0	4	0.72499996	0.0	0.72499996	0.0	3	2,3,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit0_mapping -> workspace0_recurrent -> workspace0_recurrent
0	0	0	5	0.72249997	0.0	0.72249997	0.0	3	2,3,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit0_mapping -> workspace0_recurrent -> workspace0_recurrent
0	1	1	1	0.0	0.0	0.0	0.0	0	1,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit1_mapping -> workspace0_recurrent -> workspace0_recurrent
0	1	1	2	1.0	0.0	1.0	0.0	3	2,3,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit1_mapping -> workspace0_recurrent -> workspace0_recurrent
0	1	1	3	0.75	0.0	0.75	0.0	3	1,2,3,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit1_mapping -> workspace0_recurrent -> workspace0_recurrent
0	1	1	4	0.72499996	0.0	0.72499996	0.0	3	2,3,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit1_mapping -> workspace0_recurrent -> workspace0_recurrent
0	1	1	5	0.72249997	0.0	0.72249997	0.0	3	2,3,5	context0_to_workspace0 -> workspace0_recurrent -> workspace0_recurrent -> memory0_bit1_mapping -> workspace0_recurrent -> workspace0_recurrent
1	0	1	1	0.0	0.0	0.0	0.0	0	1,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit0_mapping -> workspace1_recurrent -> workspace1_recurrent
1	0	1	2	0.0	1.0	0.0	1.0	4	2,4,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit0_mapping -> workspace1_recurrent -> workspace1_recurrent
1	0	1	3	0.0	0.75	0.0	0.75	4	1,2,4,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit0_mapping -> workspace1_recurrent -> workspace1_recurrent
1	0	1	4	0.0	0.72499996	0.0	0.72499996	4	2,4,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit0_mapping -> workspace1_recurrent -> workspace1_recurrent
1	0	1	5	0.0	0.72249997	0.0	0.72249997	4	2,4,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit0_mapping -> workspace1_recurrent -> workspace1_recurrent
1	1	0	1	0.0	0.0	0.0	0.0	0	1,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit1_mapping -> workspace1_recurrent -> workspace1_recurrent
1	1	0	2	0.0	1.0	0.0	1.0	4	2,4,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit1_mapping -> workspace1_recurrent -> workspace1_recurrent
1	1	0	3	0.0	0.75	0.0	0.75	4	1,2,4,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit1_mapping -> workspace1_recurrent -> workspace1_recurrent
1	1	0	4	0.0	0.72499996	0.0	0.72499996	4	2,4,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit1_mapping -> workspace1_recurrent -> workspace1_recurrent
1	1	0	5	0.0	0.72249997	0.0	0.72249997	4	2,4,5	context1_to_workspace1 -> workspace1_recurrent -> workspace1_recurrent -> memory1_bit1_mapping -> workspace1_recurrent -> workspace1_recurrent
