epoch	context	bit	teacher	edge	eligibility	enabled_before	target_before	target_after	weight_before	weight_after	delay_before	delay_after	structural_on	structural_off
1	0	0	0	5	0.807983	0	7	7	0.25	0.55299366	3.0	2.192017	1	0
1	0	1	1	6	0.807983	0	7	8	0.25	0.55299366	3.0	2.192017	1	0
1	1	0	1	7	0.807983	0	7	8	0.25	0.55299366	3.0	2.192017	1	0
1	1	1	0	8	0.807983	0	7	7	0.25	0.55299366	3.0	2.192017	1	0
2	0	0	0	5	0.91267306	1	7	7	0.55299366	0.756979	2.192017	1.6480561	0	0
2	0	1	1	6	0.91267306	1	8	8	0.55299366	0.756979	2.192017	1.6480561	0	0
2	1	0	1	7	0.91267306	1	8	8	0.55299366	0.756979	2.192017	1.6480561	0	0
2	1	1	0	8	0.91267306	1	7	7	0.55299366	0.756979	2.192017	1.6480561	0	0
3	0	0	0	5	0.9409	1	7	7	0.756979	0.8713082	1.6480561	1.3431782	0	0
3	0	1	1	6	0.9409	1	8	8	0.756979	0.8713082	1.6480561	1.3431782	0	0
3	1	0	1	7	0.9409	1	8	8	0.756979	0.8713082	1.6480561	1.3431782	0	0
3	1	1	0	8	0.9409	1	7	7	0.756979	0.8713082	1.6480561	1.3431782	0	0
4	0	0	0	5	0.9409	1	7	7	0.8713082	0.93185127	1.3431782	1.18173	0	0
4	0	1	1	6	0.9409	1	8	8	0.8713082	0.93185127	1.3431782	1.18173	0	0
4	1	0	1	7	0.9409	1	8	8	0.8713082	0.93185127	1.3431782	1.18173	0	0
4	1	1	0	8	0.9409	1	7	7	0.8713082	0.93185127	1.3431782	1.18173	0	0
